Fra_dato;Til_dato;Mængde;Måleenhed;Kvalitet;Type
09-06-2024 09:00:00;09-06-2024 10:00:00;2,072;KWH;Målt;Tidsserie
09-06-2024 10:00:00;09-06-2024 11:00:00;0,338;KWH;Målt;Tidsserie
09-06-2024 11:00:00;09-06-2024 12:00:00;2,783;KWH;Målt;Tidsserie
09-06-2024 12:00:00;09-06-2024 13:00:00;0,451;KWH;Målt;Tidsserie
09-06-2024 13:00:00;09-06-2024 14:00:00;0,154;KWH;Målt;Tidsserie
09-06-2024 14:00:00;09-06-2024 15:00:00;0,337;KWH;Målt;Tidsserie
09-06-2024 15:00:00;09-06-2024 16:00:00;0,126;KWH;Målt;Tidsserie
09-06-2024 16:00:00;09-06-2024 17:00:00;0,231;KWH;Målt;Tidsserie
09-06-2024 17:00:00;09-06-2024 18:00:00;0,398;KWH;Målt;Tidsserie
09-06-2024 18:00:00;09-06-2024 19:00:00;0,123;KWH;Målt;Tidsserie
09-06-2024 19:00:00;09-06-2024 20:00:00;0,146;KWH;Målt;Tidsserie
09-06-2024 20:00:00;09-06-2024 21:00:00;0,145;KWH;Målt;Tidsserie
09-06-2024 21:00:00;09-06-2024 22:00:00;0,111;KWH;Målt;Tidsserie
09-06-2024 22:00:00;09-06-2024 23:00:00;0,101;KWH;Målt;Tidsserie
09-06-2024 23:00:00;10-06-2024 00:00:00;0,099;KWH;Målt;Tidsserie
10-06-2024 00:00:00;10-06-2024 01:00:00;0,094;KWH;Målt;Tidsserie
10-06-2024 01:00:00;10-06-2024 02:00:00;0,098;KWH;Målt;Tidsserie
10-06-2024 02:00:00;10-06-2024 03:00:00;0,091;KWH;Målt;Tidsserie
10-06-2024 03:00:00;10-06-2024 04:00:00;0,098;KWH;Målt;Tidsserie
10-06-2024 04:00:00;10-06-2024 05:00:00;0,086;KWH;Målt;Tidsserie
10-06-2024 05:00:00;10-06-2024 06:00:00;0,089;KWH;Målt;Tidsserie
10-06-2024 06:00:00;10-06-2024 07:00:00;0,642;KWH;Målt;Tidsserie
10-06-2024 07:00:00;10-06-2024 08:00:00;0,114;KWH;Målt;Tidsserie
10-06-2024 08:00:00;10-06-2024 09:00:00;0,124;KWH;Målt;Tidsserie
10-06-2024 09:00:00;10-06-2024 10:00:00;0,148;KWH;Målt;Tidsserie
10-06-2024 10:00:00;10-06-2024 11:00:00;0,148;KWH;Målt;Tidsserie
10-06-2024 11:00:00;10-06-2024 12:00:00;0,171;KWH;Målt;Tidsserie
10-06-2024 12:00:00;10-06-2024 13:00:00;0,103;KWH;Målt;Tidsserie
10-06-2024 13:00:00;10-06-2024 14:00:00;0,098;KWH;Målt;Tidsserie
10-06-2024 14:00:00;10-06-2024 15:00:00;0,085;KWH;Målt;Tidsserie
10-06-2024 15:00:00;10-06-2024 16:00:00;0,094;KWH;Målt;Tidsserie
10-06-2024 16:00:00;10-06-2024 17:00:00;0,176;KWH;Målt;Tidsserie
10-06-2024 17:00:00;10-06-2024 18:00:00;0,603;KWH;Målt;Tidsserie
10-06-2024 18:00:00;10-06-2024 19:00:00;0,097;KWH;Målt;Tidsserie
10-06-2024 19:00:00;10-06-2024 20:00:00;0,227;KWH;Målt;Tidsserie
10-06-2024 20:00:00;10-06-2024 21:00:00;0,104;KWH;Målt;Tidsserie
10-06-2024 21:00:00;10-06-2024 22:00:00;0,09;KWH;Målt;Tidsserie
10-06-2024 22:00:00;10-06-2024 23:00:00;0,1;KWH;Målt;Tidsserie
10-06-2024 23:00:00;11-06-2024 00:00:00;0,087;KWH;Målt;Tidsserie
11-06-2024 00:00:00;11-06-2024 01:00:00;0,092;KWH;Målt;Tidsserie
11-06-2024 01:00:00;11-06-2024 02:00:00;0,379;KWH;Målt;Tidsserie
11-06-2024 02:00:00;11-06-2024 03:00:00;0,327;KWH;Målt;Tidsserie
11-06-2024 03:00:00;11-06-2024 04:00:00;0,601;KWH;Målt;Tidsserie
11-06-2024 04:00:00;11-06-2024 05:00:00;0,086;KWH;Målt;Tidsserie
11-06-2024 05:00:00;11-06-2024 06:00:00;0,088;KWH;Målt;Tidsserie
11-06-2024 06:00:00;11-06-2024 07:00:00;0,598;KWH;Målt;Tidsserie
11-06-2024 07:00:00;11-06-2024 08:00:00;0,337;KWH;Målt;Tidsserie
11-06-2024 08:00:00;11-06-2024 09:00:00;0,108;KWH;Målt;Tidsserie
11-06-2024 09:00:00;11-06-2024 10:00:00;0,161;KWH;Målt;Tidsserie
